gene_id,log2FoldChange,pvalue
A1BG,-0.196760137,0.537312281
A1CF,-1.98848438,0.40633618
A2M,0.442226153,0.004609518
A2ML1,-1.398927832,0.465985469
A3GALT2,-3.520278381,0.135086903
A4GALT,0.16976915,0.064054397
A4GNT,-0.07989644,0.982415025
AAAS,-0.074071715,0.101753039
AACS,-0.116653238,0.031341549
AADAT,-0.240791371,0.418032014
AAGAB,0.250656946,2.28072E-06
AAK1,-0.010038075,0.817505622
AAMDC,-0.234226464,0.101380391
AAMP,0.10953731,0.062306939
AANAT,-0.1725382,0.708519141
AAR2,-0.134274347,0.047281638
AARD,2.348834731,0.294346318
AARS1,0.136891939,4.27856E-06
AARS2,0.183392423,0.000467268
AARSD1,1.801346873,0.435524062
AASDH,-0.128317729,0.062357071
AASDHPPT,-0.55004945,1.04594E-24
AATF,0.051719119,0.25633193
AATK,0.420352729,0.453526935
ABAT,0.063830954,0.913995469
ABCA1,-1.068735509,0.025623791
ABCA10,0.699519658,0.649182614
ABCA12,-1.115275683,0.024882107
ABCA13,-1.041679374,0.798503768
ABCA2,0.255918991,5.30406E-14
ABCA3,-0.549539839,1.82865E-07
ABCA4,-0.455746052,0.06750182
ABCA5,0.391670202,3.84101E-08
ABCA7,0.060143629,0.239707391
ABCA8,0.327097933,0.696356785
ABCB1,1.831468358,0.485263076
ABCB10,-0.369627523,1.34517E-13
ABCB11,0.917782986,0.680092328
ABCB4,0.773387382,0.475684298
ABCB5,-0.83346584,0.640539689
ABCB6,0.299020023,7.13778E-08
ABCB7,0.003115125,0.955194836
ABCB8,-0.202914975,8.50745E-06
ABCB9,-0.055524226,0.660786809
ABCC1,0.102874876,0.00483536
ABCC10,-0.222874469,0.009998014
ABCC11,0.046251956,0.883304301
ABCC2,-0.02310822,0.560359147
ABCC3,-0.054592184,0.30605479
ABCC4,-0.160434789,0.000627589
ABCC5,-0.003922023,0.944675685
ABCC6,0.011189079,0.924106034
ABCC8,-0.650417452,0.78666845
ABCC9,-1.634886379,0.373050132
ABCD1,-0.189723914,0.007948721
ABCD3,0.058190647,0.117288989
ABCD4,-0.227886706,0.000652177
ABCE1,-0.39213228,6.81508E-23
ABCF1,-0.021220362,0.526235592
ABCF2,-0.089953724,0.16157898
ABCF3,0.158332565,0.001090948
ABCG1,0.784950772,9.08506E-33
ABCG2,0.250962429,8.99614E-06
ABCG4,0.923147463,0.121952786
ABCG5,0.671585261,0.250494922
ABCG8,-0.771495357,0.019572135
ABHD1,0.462797723,0.008641113
ABHD10,0.041211918,0.408522934
ABHD11,-0.010465519,0.943879789
ABHD12,0.301438921,4.77252E-07
ABHD12B,0.323852404,0.018743971
ABHD13,-0.04366991,0.600386528
ABHD14A,0.306379468,0.014597947
ABHD14B,-0.082559754,0.167696466
ABHD15,-0.56820229,1.08858E-08
ABHD16A,-0.030611387,0.692881595
ABHD16B,-1.002994667,2.29118E-05
ABHD17A,-0.022582692,0.74418913
ABHD17B,0.068287533,0.30288128
ABHD17C,0.107933375,0.075746049
ABHD18,0.085603498,0.275814844
ABHD2,0.227106344,5.95552E-09
ABHD3,-0.021824001,0.685617618
ABHD4,0.725877776,1.96204E-59
ABHD5,0.088578176,0.148382977
ABHD6,-0.010120132,0.907930224
ABHD8,0.013984164,0.898943778
ABI1,0.041636633,0.498418774
ABI2,0.039436164,0.471056502
ABI3,2.631004875,0.179111512
ABI3BP,0.878145588,4.33864E-14
ABITRAM,-0.365920845,9.88288E-07
ABL1,0.389150254,1.76987E-24
ABL2,0.062641577,0.095503635
ABLIM1,-0.156006458,6.40029E-06
ABLIM2,-0.205193608,0.266294922
ABLIM3,0.889203807,2.89963E-07
ABO,0.881873978,0.828893793
ABR,-0.266868735,1.28297E-06
ABRA,-1.07714193,0.097638513
ABRACL,0.052795028,0.65054443
