id,HC-1,HC-2,HC-3,HT-1,HT-2,HT-3
A1BG,35,49,49,45,36,41
A1CF,2,0,2,0,0,1
A2M,160,172,179,265,213,253
A2ML1,1,2,2,1,1,0
A3GALT2,2,4,0,0,0,0
A4GALT,548,619,611,752,723,636
A4GNT,0,0,1,1,0,0
AAAS,3490,3867,4066,3783,3960,3717
AACS,2254,2196,2402,2089,2469,2135
AADAC,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0
AADAT,45,64,54,35,55,56
AAGAB,1820,1903,1996,2251,2443,2497
AAK1,2620,2873,2881,2803,3095,2893
AAMDC,333,314,253,279,301,231
AAMP,1874,2061,2241,2254,2336,2443
AANAT,28,19,17,23,16,21
AAR2,1144,1164,1324,1128,1239,1132
AARD,0,0,1,0,5,1
AARS1,11479,12581,12791,13521,15157,14159
AARS2,2125,2346,2310,2415,2988,2748
AARSD1,0,0,1,1,2,1
AASDH,1397,1509,1339,1200,1529,1386
AASDHPPT,3044,3292,3296,2206,2647,2113
AASS,0,0,0,0,0,0
AATF,2386,2548,2416,2566,2835,2656
AATK,20,8,11,10,24,22
ABAT,18,10,10,12,9,21
ABCA1,25,21,41,8,17,19
ABCA10,1,2,1,1,5,1
ABCA12,26,24,22,13,8,14
ABCA13,0,0,1,0,0,0
ABCA2,6012,6463,6297,7787,8118,7779
ABCA3,497,498,574,365,367,400
ABCA4,88,74,89,76,57,60
ABCA5,965,913,896,1170,1397,1289
ABCA6,0,0,0,0,0,0
ABCA7,2072,2303,2337,2426,2479,2483
ABCA8,3,12,3,5,13,6
ABCA9,0,0,0,0,0,0
ABCB1,0,1,0,0,0,4
ABCB10,2336,2641,2590,1954,2252,1988
ABCB11,2,0,0,2,0,2
ABCB4,1,2,6,4,2,10
ABCB5,3,0,2,1,1,1
ABCB6,1594,1584,1652,2102,2133,2045
ABCB7,1508,1667,1728,1648,1838,1708
ABCB8,2810,3012,2904,2529,2930,2564
ABCB9,312,378,355,399,356,305
ABCC1,4729,5268,5144,5491,5933,5757
ABCC10,867,763,818,751,733,734
ABCC11,36,59,39,40,49,57
ABCC12,0,0,0,0,0,0
ABCC2,6700,6619,6345,6484,7299,6706
ABCC3,3170,3035,3123,3215,3119,3155
ABCC4,2714,2713,2764,2392,2777,2589
ABCC5,2710,2685,2576,2528,3203,2700
ABCC6,415,398,350,350,453,440
ABCC8,1,2,0,0,0,2
ABCC9,1,3,2,1,0,1
ABCD1,1022,1065,1166,1022,1039,952
ABCD2,0,0,0,0,0,0
ABCD3,4493,4897,4832,4904,5680,5082
ABCD4,1021,1077,1069,893,1024,944
ABCE1,4210,4471,4484,3282,3850,3484
ABCF1,5643,6183,6016,5957,6563,6068
ABCF2,1083,1155,1129,1064,1212,1071
ABCF2-H2BK1,0,0,0,0,0,0
ABCF3,2232,2329,2497,2713,2953,2662
ABCG1,763,784,777,1348,1519,1370
ABCG2,1365,1453,1425,1637,1881,1823
ABCG4,13,12,4,11,29,19
ABCG5,4,15,12,16,21,15
ABCG8,68,59,37,33,37,32
ABHD1,118,104,121,169,173,158
ABHD10,2114,2379,2363,2307,2726,2430
ABHD11,188,207,177,200,202,198
ABHD12,1150,1280,1325,1544,1698,1648
ABHD12B,314,314,241,381,450,323
ABHD13,630,628,696,636,705,664
ABHD14A,271,282,300,386,419,311
ABHD14A-ACY1,0,0,0,0,0,0
ABHD14B,1500,1489,1652,1516,1597,1520
ABHD15,499,511,533,356,398,347
ABHD16A,862,857,921,949,919,862
ABHD16B,88,115,107,55,51,57
ABHD17A,1025,1177,1153,1169,1146,1170
ABHD17B,1333,1293,1240,1433,1433,1419
ABHD17C,1450,1418,1351,1539,1708,1566
ABHD18,917,854,814,894,1054,959
ABHD2,4044,4498,4493,5004,5678,5448
ABHD3,1685,1866,1791,1796,2013,1756
ABHD4,2533,2715,2908,4499,4925,4831
ABHD5,1459,1461,1436,1462,1799,1646
ABHD6,603,617,667,662,721,599
ABHD8,387,370,357,405,416,369
ABI1,1183,1300,1254,1266,1404,1396
ABI2,2588,2404,2463,2483,2957,2680
ABI3,1,0,0,3,2,2
ABI3BP,241,283,242,459,491,537
ABITRAM,1163,1220,1048,869,1014,936
ABL1,5087,5749,5853,7516,7985,7582
ABL2,4482,4703,4870,4825,5585,5121
ABLIM1,6159,6392,6643,5792,6324,6097
ABLIM2,159,148,162,172,135,122
ABLIM3,120,113,188,255,291,278
ABO,0,0,0,0,0,1
ABR,2389,2530,2359,2190,2201,2001
ABRA,12,15,13,8,7,5
ABRACL,316,344,365,355,357,410
ABRAXAS1,247,257,250,183,290,240
ABRAXAS2,1066,1169,1100,1171,1271,1188
ABT1,937,992,971,1099,1308,1139
ABTB1,685,695,824,882,892,945
ABTB2,372,385,400,418,493,502
ACAA1,477,589,618,641,673,534
ACAA2,2580,3002,2961,2982,3237,3117
ACACA,24490,25875,26500,27626,30282,28377
ACACB,818,933,852,949,1073,880
ACAD10,1271,1434,1318,1153,1261,1095
ACAD11,1431,1553,1428,2142,2492,2260
ACAD8,896,836,740,855,872,894
ACAD9,2455,2582,2561,2289,2766,2486
ACADL,5,0,11,6,1,1
ACADM,3138,3264,3196,3072,3663,3317
ACADS,559,548,645,622,561,519
ACADSB,886,785,941,555,696,563
ACADVL,32558,34897,36010,37499,40943,39166
ACAN,0,0,0,0,0,0
ACAP1,718,789,680,821,905,822
ACAP2,3555,3521,3873,3521,4031,3819
ACAP3,2084,1867,1910,1947,2014,1969
ACAT1,11065,11409,11570,11169,12124,11832
ACAT2,1882,2098,2153,3113,3437,3298
ACBD3,5825,6144,6065,6864,7296,7213
ACBD4,1038,994,1072,1139,1263,1089
ACBD5,2301,2405,2453,2366,2513,2537
ACBD6,1327,1287,1432,1293,1516,1490
ACBD7,41,29,52,70,72,46
ACCS,241,263,203,83,68,64
ACCSL,0,0,1,0,0,0
ACD,409,428,471,568,576,644
ACE,339,347,346,339,406,368
ACE2,4,3,0,2,1,1
ACER1,0,0,2,0,0,0
ACER2,143,203,187,104,128,107
ACER3,950,1061,1066,882,1005,998
ACHE,3,10,7,7,2,2
ACIN1,12670,12763,13208,13769,14825,13992
ACKR1,0,0,0,0,0,0
ACKR2,7,31,10,5,6,4
ACKR3,83,81,62,55,33,34
ACKR4,111,133,143,140,245,174
ACLY,25620,28796,29694,34422,36878,35329
ACMSD,11,17,9,11,7,7
ACO1,2284,2738,2517,4030,4546,4422
ACO2,2094,2196,2325,2592,2702,2460
ACOD1,1,0,0,4,0,0
ACOT1,108,122,105,56,70,62
ACOT11,99,101,99,63,68,73
ACOT12,31,36,30,29,26,41
ACOT13,2201,2327,2376,2473,2742,2699
ACOT2,557,533,593,402,432,338
ACOT4,1,0,2,1,0,0
ACOT6,3,1,2,1,1,0
ACOT7,874,1007,1019,1108,1308,1088
ACOT8,327,394,308,432,528,393
ACOT9,4267,4762,4692,4430,5102,4494
ACOX1,4350,4585,4759,4907,5426,4917
ACOX2,1,3,2,0,6,1
ACOX3,460,605,502,380,479,467
ACOXL,144,170,130,128,150,135
ACP1,3673,4130,4263,3848,4227,4066
ACP2,724,754,837,903,946,893
ACP3,0,0,0,0,0,0
ACP4,184,183,164,247,221,231
ACP5,47,13,30,11,13,6
ACP6,1509,1536,1548,1274,1424,1397
ACP7,1,2,0,1,2,1
ACR,3,2,10,2,6,5
ACRBP,39,24,30,30,36,25
ACRV1,178,181,185,124,153,151
ACSBG1,22,18,22,17,26,30
ACSBG2,171,170,149,107,160,128
ACSF2,654,659,726,769,778,716
ACSF3,1596,1671,1665,1757,1784,1531
ACSL1,3104,3479,3377,3429,3874,3826
ACSL3,7472,7892,7489,7067,7942,7663
ACSL4,7646,8236,8204,8827,9586,9153
ACSL5,674,638,669,546,616,536
ACSL6,0,0,0,0,0,0
ACSM1,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0
ACSM3,125,175,153,166,145,146
ACSM4,0,3,1,1,1,5
ACSM5,0,0,0,0,0,0
ACSM6,5,4,2,3,0,0
ACSS1,0,1,0,0,0,0
ACSS2,2989,3174,3036,7075,7621,7418
ACSS3,0,0,0,0,0,0
ACTA1,0,0,1,2,6,0
ACTA2,142,173,146,59,73,42
ACTB,102496,121162,123181,107820,113890,107917
ACTBL2,0,1,0,0,1,0
