id,length
A1BG,8315.0
A1CF,86308.0
A2M,48566.0
A2ML1,64381.0
A3GALT2,14333.0
A4GALT,30289.0
A4GNT,9490.0
AAAS,17409.0
AACS,77970.0
AADAC,14987.0
AADACL2,27424.0
AADACL3,12651.0
AADACL4,22992.0
AADAT,31481.0
AAGAB,54529.0
AAK1,216353.0
AAMDC,97333.0
AAMP,6054.0
AANAT,17374.0
AAR2,34788.0
AARD,6281.0
AARS1,37725.0
AARS2,14622.0
AARSD1,14068.0
AASDH,49530.0
AASDHPPT,23208.0
AASS,79907.0
AATF,107950.0
AATK,55737.0
ABAT,109980.0
ABCA1,147150.0
ABCA10,97633.0
ABCA12,207085.0
ABCA13,476040.0
ABCA2,21682.0
ABCA3,64872.0
ABCA4,128315.0
ABCA5,82934.0
ABCA6,67777.0
ABCA7,25576.0
ABCA8,89419.0
ABCA9,86462.0
ABCB1,210359.0
ABCB10,42376.0
ABCB11,115827.0
ABCB4,78740.0
ABCB5,161372.0
ABCB6,9247.0
ABCB7,105685.0
ABCB8,19361.0
ABCB9,60699.0
ABCC1,194120.0
ABCC10,23065.0
ABCC11,81796.0
ABCC12,75137.0
ABCC2,69955.0
ABCC3,58023.0
ABCC4,281988.0
ABCC5,98006.0
ABCC6,74073.0
ABCC8,84397.0
ABCC9,145155.0
ABCD1,20261.0
ABCD2,69771.0
ABCD3,100425.0
ABCD4,17787.0
ABCE1,31277.0
ABCF1,25787.0
ABCF2,15758.0
ABCF2-H2BK1,19330.0
ABCF3,7919.0
ABCG1,104701.0
ABCG2,141669.0
ABCG4,13602.0
ABCG5,26394.0
ABCG8,51047.0
ABHD1,7024.0
ABHD10,14397.0
ABHD11,2773.0
ABHD12,96125.0
ABHD12B,32918.0
ABHD13,16077.0
ABHD14A,9772.0
ABHD14A-ACY1,14478.0
ABHD14B,14900.0
ABHD15,6491.0
ABHD16A,16403.0
ABHD16B,1491.0
ABHD17A,8809.0
ABHD17B,48773.0
ABHD17C,75938.0
ABHD18,74687.0
ABHD2,114897.0
ABHD3,53911.0
ABHD4,14715.0
ABHD5,44264.0
ABHD6,58178.0
ABHD8,18106.0
ABI1,115153.0
ABI2,119477.0
ABI3,12815.0
ABI3BP,244361.0
ABITRAM,16345.0
ABL1,174633.0
ABL2,130355.0
ABLIM1,336952.0
ABLIM2,193523.0
ABLIM3,119060.0
ABO,42747.0
ABR,226220.0
ABRA,10762.0
ABRACL,16249.0
ABRAXAS1,63832.0
ABRAXAS2,34866.0
ABT1,3787.0
ABTB1,8021.0
ABTB2,207024.0
ACAA1,34519.0
ACAA2,31790.0
ACACA,321845.0
ACACB,151640.0
ACAD10,71089.0
ACAD11,101967.0
ACAD8,12342.0
ACAD9,44408.0
ACADL,38322.0
ACADM,63145.0
ACADS,14236.0
ACADSB,49319.0
ACADVL,8145.0
ACAN,71918.0
ACAP1,18519.0
ACAP2,168354.0
ACAP3,17234.0
ACAT1,32263.0
ACAT2,17841.0
ACBD3,42084.0
ACBD4,11582.0
ACBD5,74912.0
ACBD6,233302.0
ACBD7,13302.0
ACCS,18326.0
ACCSL,11997.0
ACD,3299.0
ACE,21323.0
ACE2,112671.0
ACER1,27471.0
ACER2,43497.0
ACER3,165939.0
ACHE,7029.0
ACIN1,37054.0
ACKR1,1933.0
ACKR2,83389.0
ACKR3,14667.0
ACKR4,21698.0
ACLY,63630.0
ACMSD,64595.0
ACO1,70167.0
ACO2,81444.0
ACOD1,10128.0
ACOT1,6654.0
ACOT11,96936.0
ACOT12,64330.0
ACOT13,38145.0
ACOT2,8039.0
ACOT4,3894.0
ACOT6,8944.0
ACOT7,129500.0
ACOT8,15697.0
ACOT9,67080.0
ACOX1,37953.0
ACOX2,32844.0
ACOX3,74866.0
ACOXL,386025.0
ACP1,14961.0
ACP2,10889.0
ACP3,50934.0
ACP4,4805.0
ACP5,5341.0
ACP6,40880.0
ACP7,27585.0
ACR,7144.0
ACRBP,9359.0
ACRV1,9353.0
ACSBG1,78221.0
ACSBG2,57848.0
ACSF2,48688.0
ACSF3,75747.0
ACSL1,71353.0
ACSL3,83698.0
ACSL4,109160.0
ACSL5,55982.0
ACSL6,62271.0
ACSM1,75658.0
ACSM2A,43658.0
ACSM2B,40217.0
ACSM3,187601.0
ACSM4,24648.0
ACSM5,32030.0
ACSM6,34730.0
ACSS1,52751.0
ACSS2,55817.0
ACSS3,324797.0
ACTA1,4425.0
ACTA2,56518.0
ACTB,37494.0
ACTBL2,2794.0
ACTC1,5806.0
ACTG1,14435.0
ACTG2,27634.0
ACTL10,1583.0
ACTL6A,25522.0
